n	wpId	dateText	title	secondaryKeywords	rawCandidateTags	summary	textStart
267	6993	March 1, 2014	More on the Response Book	How Jesus Became God; Jesus; How God Became Jesus	jesus; new-testament; textual-criticism; resurrection; christology; suffering-evil; blog-news; barts-critics	Another post on the forthcoming “response book,” titled How God Became Jesus, written in reaction to my book How Jesus Became God. As I indicated in my previous post, I gave my publisher permission to share my manuscript with the five scholars who produced the response, so they were not simply guessing about what I had to say.	More on the Response Book March 1, 2014 Another post on the forthcoming “response book,” titled How God Became Jesus, written in reaction to my book How Jesus Became God. As I indicated in my previous post, I gave my publisher permission to share my manuscript with the five scholars who produced the response, so they were not simply guessing about what I had to say. They had it in their hands. They responded in kind and allowed their publisher to share with me their book. I haven’t read it yet. 
268	6528	January 22, 2014	Ramtha Again: The Question-Answer Session	Lectures; Ramtha School of Enlightenment; Gospel of Judas	gospels; apocrypha; reader-questions; early-christian-apocrypha; public-forum; video-media	Here is the second part of my talk at the Ramtha School of Enlightenment. It is a question-answer session that I had with the attendees, and for my money, it was the best, most interesting part of the evening.	Ramtha Again: The Question-Answer Session January 22, 2014 Here is the second part of my talk at the Ramtha School of Enlightenment. It is a question-answer session that I had with the attendees, and for my money, it was the best, most interesting part of the evening. Since we had abundant time — well over an hour — I was able to give the questions full, drawn out answers, virtually mini-lectures in themselves, on an enormous range of issues that came up. The questions dealt with intriguing topi
269	6688	January 20, 2014	Need for Testimonies!	Resurrection of Jesus; Misquoting Jesus; Jesus; Resurrection; Lectures	jesus; new-testament; resurrection; blog-news; reflections-ruminations	I’m on the road this week, giving lectures in Richmond Virginia – one at the Women’s Club of Richmond (1500 members!) (they all don’t show up for a talk, of course) on “Misquoting Jesus,” and the other at the University of Richmond, where my former student Stephanie Cobb teaches New Testament, on “What Can Historians Say About the Resurrection of Jesus” (some of you might think that will be a very	Need for Testimonies! January 20, 2014 I’m on the road this week, giving lectures in Richmond Virginia – one at the Women’s Club of Richmond (1500 members!) (they all don’t show up for a talk, of course) on “Misquoting Jesus,” and the other at the University of Richmond, where my former student Stephanie Cobb teaches New Testament, on “What Can Historians Say About the Resurrection of Jesus” (some of you might think that will be a very short lecture J. But not so!!). She is also the author of Dy
270	6683	January 19, 2014	Trying Again: More on Ramtha	Gnosticism (General); Gospel of Judas; Judas Iscariot; Ramtha; Jesus	jesus; gospels; apocrypha; christology; roman-world; blog-news; early-christian-apocrypha; reflections-ruminations	SORRY ‘BOUT THIS. MY ORIGINAL POST FOR MEMBERS ONLY ON “MORE ON RAMTHA” WAS NOT SHOWING UP (FOR SOME WEIRD REASON) AS A POST YOU COULD ACCESS.	Trying Again: More on Ramtha January 19, 2014 SORRY ‘BOUT THIS. MY ORIGINAL POST FOR MEMBERS ONLY ON “MORE ON RAMTHA” WAS NOT SHOWING UP (FOR SOME WEIRD REASON) AS A POST YOU COULD ACCESS. SO HERE IT IS A SECOND TIME. I’m a little surprised (OK, really surprised) that when I posted the video of my lecture on the Gospel of Judas Iscariot two days ago it didn’t generate more (a lot more) discussion on the blog. Not because of the lecture, but because of where I gave it, the Ramtha School of Enligh
271	6655	January 18, 2014	More on Ramtha	Gnosticism (General); Gospel of Judas; Judas Iscariot; Jesus	jesus; gospels; christology; roman-world; recent-comments; reflections-ruminations	I’m a little surprised (OK, really surprised) that when I posted the video of my lecture on the Gospel of Judas Iscariot two days ago it didn’t generate more (a lot more) discussion on the blog. Not because of the lecture, but because of where I gave it, the Ramtha School of Enlightenment.	More on Ramtha January 18, 2014 I’m a little surprised (OK, really surprised) that when I posted the video of my lecture on the Gospel of Judas Iscariot two days ago it didn’t generate more (a lot more) discussion on the blog. Not because of the lecture, but because of where I gave it, the Ramtha School of Enlightenment. I expected that to spark a lively response. It didn’t. And the most common response that I did receive (on the blog or privately) was some surprise that I would lend my name to 
272	6587	January 11, 2014	Followup on the NT Quiz	Jesus; Early Christianity; Jesus' Teachings; Trinity; Gospels (General); John the Baptist; New Testament; Luke; Paul; Peter; Mary Magdalene; Moses	jesus; gospels; paul; new-testament; hebrew-bible; early-christianity; textual-criticism; forgery-authorship	So, about my quiz on the New Testament. Most of you who sent me answers failed miserably.	Followup on the NT Quiz January 11, 2014 So, about my quiz on the New Testament. Most of you who sent me answers failed miserably. I think you should buy *me* dinner…. I did this already with my other quiz, but I’ll do it again here – explaining what I try to accomplish by the various questions. FOR THE REST OF THIS POST, log in as a Member. Click here for membership options. If you don’t belong yet, JOIN NOW, OR YOU MAY NEVER KNOW!! 27 books in the NT (when you think NT, you should think God; t
273	6552	January 2, 2014	Looking Ahead to 2014 on the Blog		reader-questions; blog-news; public-forum	I’d like to take the opportunity of the New Year to look ahead with you on matters related to the blog. My idea for this post is to tell you what my goals for the coming year are and what challenges we are (or that I am) facing, and then to ask a couple of questions from you, the members, about how best to proceed.	Looking Ahead to 2014 on the Blog January 2, 2014 I’d like to take the opportunity of the New Year to look ahead with you on matters related to the blog. My idea for this post is to tell you what my goals for the coming year are and what challenges we are (or that I am) facing, and then to ask a couple of questions from you, the members, about how best to proceed. Goals and Challenges I have several different goals for the blog this coming year. Financial. This past year, as I indicated in my pa
274	6550	January 1, 2014	End of the Year Blog Reflection	Eve; Early Christianity; Jesus	jesus; new-testament; early-christianity; reader-questions; public-forum	Here at the end of the year, on this New Year’s Eve, I’m reflecting on the blog and how it has gone over the past 12 months. I’d say this has been a fantastic year.	End of the Year Blog Reflection January 1, 2014 Here at the end of the year, on this New Year’s Eve, I’m reflecting on the blog and how it has gone over the past 12 months. I’d say this has been a fantastic year. Every now and then (like, every ten minutes) I wonder if it is really worth all the time and effort. I’ve continued to post five or six times a week (usually six), and each post is about 1000 words long. But in addition, I need to approve all the comments that come in, and respond to th
275	6506	December 24, 2013	Response to My Holiday Request		reader-questions; blog-news; reflections-ruminations	I am deeply touched and highly appreciative of the response to my request for donations that would allow readers who very much want to be members of the blog, but who simply cannot afford the membership fees, to have a one-year subscription. The outpouring of support was very gratifying and humbling.	Response to My Holiday Request December 24, 2013 I am deeply touched and highly appreciative of the response to my request for donations that would allow readers who very much want to be members of the blog, but who simply cannot afford the membership fees, to have a one-year subscription. The outpouring of support was very gratifying and humbling. We have received $1800 in this appeal – enough for 72 memberships. Fantastic. I am now about to announce the possibility in the public forum of the b
276	6487	December 20, 2013	A Holiday Blog Idea		public-forum	As many of you know, thanks to a couple of generous donors, I was able to give out some free memberships to people who very much wanted to be on the blog but because of personal circumstances, could not afford the membership fees. I put out the offer on my facebook page, and within twenty minutes I had thirty requests –all from people who were eager to join but simply did not have the means to do 	A Holiday Blog Idea December 20, 2013 As many of you know, thanks to a couple of generous donors, I was able to give out some free memberships to people who very much wanted to be on the blog but because of personal circumstances, could not afford the membership fees. I put out the offer on my facebook page, and within twenty minutes I had thirty requests –all from people who were eager to join but simply did not have the means to do so otherwise. I had to shut down the offer nearly as soon as I
277	4955	October 13, 2013	Some Blog Self-Scrutiny		reader-questions; blog-news; public-forum	I’ve spent the past day or so thinking about the Blog. By many standards I think it is going very well.	Some Blog Self-Scrutiny October 13, 2013 I’ve spent the past day or so thinking about the Blog. By many standards I think it is going very well. As I’ve pointed out on numerous occasions, we managed to raise $37,000 last year for the charities that the blog supports, all of them dealing with hunger and homelessness. If we do that for a number of years – we’re talking some serious money! Most of that amount came from membership fees; a good chunk came from extra donations, some of them extraordin
278	4911	October 4, 2013	Riled by O’Reilly	Mary Magdalene; Constantine; Jesus; Mary; Early Christianity; Killing Jesus; Bill Oreilly; Herod	jesus; new-testament; early-christianity; forgery-authorship; suffering-evil; roman-world; church-history; reader-questions	OK, I know I promised to read and review Killing Jesus. But I’m not sure I can do it.	Riled by O’Reilly October 4, 2013 OK, I know I promised to read and review Killing Jesus. But I’m not sure I can do it. It’s just so aggravating. Pointing out its flaws is like shooting fish in a barrel. I’ll make one general comment in this post and in the next one mention one of the leading themes of the book to show why its so problematic and then, unless I have a complete change of heart or people ask me pointed questions, I think I’ll just let it go. For now, a general comment. I was one of
279	4819	September 15, 2013	Apologies, Questions, and Excuses	Gospel of the Ebionites; Gospel of the Egyptians; Hebrews	gospels; new-testament; apocrypha; canon; reader-questions; readers-questions; teaching-christianity	My sincere apologies to any- and every-one who has asked me a direct question that I have said I would devote a post or more to. The list of questions that I need to address is as long as my arm, and in many cases I suppose people forgot that they even asked!	Apologies, Questions, and Excuses September 15, 2013 My sincere apologies to any- and every-one who has asked me a direct question that I have said I would devote a post or more to. The list of questions that I need to address is as long as my arm, and in many cases I suppose people forgot that they even asked! But if you asked and are waiting – apologies. I still have the questions and I will get to them, slowly. But I find that once I start answering a question, to cover the issues thoroughly 
280	4743	August 30, 2013	The Final Part of My First-Day Quiz	Jesus; Gospels (General); John the Baptist; Gospel of John; Joseph of Arimathea; Mark; Joseph; Pedagogy; Luke; Matthew; Acts; Paul; John 11:35; 1 Thessalonians 5:16; Luke 20:30; Nicodemus; Pontius Pilate	jesus; gospels; paul; new-testament; forgery-authorship; roman-world; reader-questions; public-forum	Here is the second half of my pop quiz (see yesterday’s post); some of the questions are just … factual questions. Some of them give me a chance actually to teach something.	The Final Part of My First-Day Quiz August 30, 2013 Here is the second half of my pop quiz (see yesterday’s post); some of the questions are just … factual questions. Some of them give me a chance actually to teach something. …. According to the Gospels, who baptized Jesus? Who carried his cross? Who buried him? Answers: John the Baptist, Simon of Cyrene and/or Jesus, Joseph of Arimathea. So this question allows for a teachable moment. Mark’s Gospel indicates that Simon of Cyrene carried the cro
281	4650	August 7, 2013	Doing a TV Interview	Jesus; National Geographic; Mary Magdalene	jesus; early-christianity; textual-criticism; resurrection; miracles; judaism; reader-questions; barts-biography	On a side note, or no relevance to any of the recent threads or to much of anything, I just now got back from a rather grueling interview for a two-hour National Geographic Channel documentary dealing with — ready for this? — Jesus.	Doing a TV Interview August 7, 2013 On a side note, or no relevance to any of the recent threads or to much of anything, I just now got back from a rather grueling interview for a two-hour National Geographic Channel documentary dealing with — ready for this? — Jesus. It’s amazing how many of these things get made. People love them, they sell well, the film company and its employees, the TV channel, everyone concerned (well, except the persons being interviewed!) make money, they spread knowledg
282	4633	August 4, 2013	A Plea for My Blog	Early Christianity; Jesus	jesus; new-testament; early-christianity; church-history; reader-questions; blog-news; public-forum	It is good to see that thousands of people are reading the excerpts of my blog posts, either on the blog or on my facebook page. I intentionally cut these excerpts off part way through, usually before I get to the most interesting and important part.	A Plea for My Blog August 4, 2013 It is good to see that thousands of people are reading the excerpts of my blog posts, either on the blog or on my facebook page. I intentionally cut these excerpts off part way through, usually before I get to the most interesting and important part. My hope is that people reading a bit of what I have to say will want then to go on and read all of what I have to say. To do that, they (you) need to join the blog itself. Some people inspired by these excerpts have
283	4384	June 17, 2013	Outta Here		public-forum	FYI: I am heading out of town for a few days and will not be able to interact with comments on the blog during that time. I’m taking my 86-year old mom trout fishing in the Ozarks, and will not have internet access.	Outta Here June 17, 2013 FYI: I am heading out of town for a few days and will not be able to interact with comments on the blog during that time. I’m taking my 86-year old mom trout fishing in the Ozarks, and will not have internet access. I saved up a couple of posts and handed them over to my trusty computer person and internet tech, who keeps this blog running, Steven Ray — so posts should appear a while I’m incommunicado. But I won’t be able to reply or post any comments that come in during
284	4295	May 31, 2013	Future Books	Gospels (General); Lectures; Book Projects; Early Christianity; Jesus; Trade Books	jesus; gospels; new-testament; early-christianity; apocrypha; forgery-authorship; canon; roman-world	I’m curious to know of future projects you have in mind after you complete your commentary on 2nd century gospels.	Future Books May 31, 2013 QUESTION: I’m curious to know of future projects you have in mind after you complete your commentary on 2nd century gospels. RESPONSE: As I’ve indicated on this blog before, I try to alternate the kinds of books I write. Most scholars don’t do it that way. I have friends – my closest friends in the field, in fact – who want only to do scholarship and nothing else, and so they write scholarly monograph after scholarly monograph. This is an enormous service to the academi
285	4206	May 8, 2013	Touring Jerusalem	Jesus; Herod; Constantine; Jerusalem; Joseph of Arimathea; Burial	jesus; gospels; textual-criticism; forgery-authorship; resurrection; roman-world; judaism; church-history	We are in that part of our tour of Israel – getting near the end – when everything more or less melds together and you can’t remember what you did when or where. These trips involve some serious sensory overload.	Touring Jerusalem May 8, 2013 We are in that part of our tour of Israel – getting near the end – when everything more or less melds together and you can’t remember what you did when or where. These trips involve some serious sensory overload. Today we did some amazing things. First we went to the Western Wall, probably the most sacred spot for Jews in Israel. Years ago people referred to it as the Wailing Wall, but no longer. It is what remains of the wall surrounding the Temple compound back in
286	4182	May 6, 2013	On to Jerusalem	Dead Sea Scrolls; Jesus; John; Mark; Jerusalem	jesus; gospels; hebrew-bible; textual-criticism; roman-world; judaism; reader-questions; blog-news	Just a quick post because of time constraints. We just got into Jerusalem and I am off to give a lecture in half an hour.	On to Jerusalem May 6, 2013 Just a quick post because of time constraints. We just got into Jerusalem and I am off to give a lecture in half an hour. We left Tiberias (and the Sea of Galilee) this morning and traveled down to Jerusalem. En route we went to one of the traditional sites of Jesus’ baptism, in the Jordan River; it can’t be the actual site, since it’s way up north and it is clear in our earliest account, Mark’s, that John was baptizing somewhere in walking distance of Jerusalem. But 
287	4177	May 5, 2013	Capernaum and the “Jesus Boat”	Jesus; Gospels (General); Peter; James; John; Capernaum; Nazareth; Luke 8:1-3; Gabriel; Mary Magdalene	jesus; gospels; new-testament; textual-criticism; roman-world; church-history; barts-biography; historical-jesus	I am typing just now on the third floor of the Scots Hotel in Tiberias, in a room with a glorious view of the Sea of Galilee. In the distance, across are the sea, are clearly visible the Golan Heights, where we spent a day or so, having lunch yesterday just 40 miles from Damascus.	Capernaum and the “Jesus Boat” May 5, 2013 I am typing just now on the third floor of the Scots Hotel in Tiberias, in a room with a glorious view of the Sea of Galilee. In the distance, across are the sea, are clearly visible the Golan Heights, where we spent a day or so, having lunch yesterday just 40 miles from Damascus. All may not be quiet on the Western Front (well, in this case, the Eastern Front) but we are safe and sound, and feel more secure than typically we do even in New York City (!
288	4167	April 29, 2013	Off to Israel	Lectures; Israel; Jesus	jesus; paul; christology; roman-world; reader-questions; barts-biography; public-forum; reflections-ruminations	I’m off to Israel first thing tomorrow morning, and will be gone for ten days. I’ll be on email most days; I’m not sure how much time I’ll have to blog, but I’ll do my best.	Off to Israel April 29, 2013 I’m off to Israel first thing tomorrow morning, and will be gone for ten days. I’ll be on email most days; I’m not sure how much time I’ll have to blog, but I’ll do my best. So this is an alumni tour for UNC, just over 20 people going (they limited it to that size), along with Sarah and me. It’s a great deal for me. On these things the university will send a faculty member who gives a few lectures, hangs out with the people, answers questions, engages in conversation
289	4158	April 26, 2013	Sorry!		gospels; new-testament; apocrypha; canon; reader-questions; public-forum; reflections-ruminations	OK, apologies to all 29,475 of you who noticed that I said “astrology” instead of “astronomy” yesterday, and that I dated the earth — not the universe –at 13. 8 billion years old.	Sorry! April 26, 2013 OK, apologies to all 29,475 of you who noticed that I said “astrology” instead of “astronomy” yesterday, and that I dated the earth — not the universe –at 13.8 billion years old. Mistakes noted! It was a long day: ten hours of writing and editing, and then the blog. Yuk! But, well, at least I know that lots of you were paying attention. I won’t post your comments if they simply were making corrections this time around….. I am nearing the finish line with the draft of the bo
290	4155	April 25, 2013	On Scholarly Consensus	Scholarly Consensus; Jesus; Paul	jesus; gospels; paul; new-testament; forgery-authorship; reader-questions; readers-questions; teaching-christianity	A question about scholarly consensus from a reader and an answer from me.	On Scholarly Consensus April 25, 2013 A question about scholarly consensus from a reader and an answer from me. This is something a little different, in response to an issue raised regarding my post yesterday: A Comment From a Reader About Scholarly Consensus: I have a minor suggestion. I hope you don’t mind me bringing it up. If you have heard it before, feel free to disregard it. If you haven’t heard it before and you disagree with it, feel free to disregard it. However, if you haven’t heard t
291	3947	March 14, 2013	Pastor Goranson, the Son of God, and I	Son of God; How Jesus Became God; Evangelism; Jesus; Job; Evan Goranson; John 14:6	jesus; gospels; new-testament; textual-criticism; christology; church-history; reader-questions; barts-biography	Here is the kind of anecdote that I’m thinking about including in my book on How Jesus Became God; if I use it – or others like it – it would begin a chapter, before I move to the scholarly issues.	Pastor Goranson, the Son of God, and I March 14, 2013 Here is the kind of anecdote that I’m thinking about including in my book on How Jesus Became God; if I use it – or others like it – it would begin a chapter, before I move to the scholarly issues. ************************************************************************************************************ When I attended Moody Bible Institute in the mid 1970s, every student was required, every semester, to do some kind of Christian ministry w
292	3894	March 2, 2013	The Greatest Controversies	Lectures; Jesus; Teaching Company; Great Courses; Acts; Paul; Mary Magdalene; Pontius Pilate	jesus; gospels; paul; new-testament; hebrew-bible; early-christianity; apocrypha; forgery-authorship	So I am now back from D. C.	The Greatest Controversies March 2, 2013 So I am now back from D.C. and from recording my 24 lectures for the Great Courses, on “The Greatest Controversies in Early Christian History. “ It was a rugged week! In theory it shouldn’t be that hard to deliver six lectures a day on topics you’re familiar with; but these lectures for the Teaching Company are *so* intense that the energy required is extraordinarily high. I started each day around 9, finished around 4, got a work out in, worked for two o
293	3833	February 15, 2013	A Brief Break from Christology	Christology (General); How Jesus Became God; Early Christianity; Jesus	jesus; new-testament; early-christianity; christology; blog-news; public-forum	With this post I want to take a brief break from what I’ve been doing on the blog to assess how it’s going. A couple of weeks ago now I decided to start posting on my current book project, How Jesus Became God.	A Brief Break from Christology February 15, 2013 With this post I want to take a brief break from what I’ve been doing on the blog to assess how it’s going. A couple of weeks ago now I decided to start posting on my current book project, How Jesus Became God. My idea was that this would allow me to “think through” some issues out loud, as it were, as I put thoughts on screen, and it would allow people on the blog to see where I’m going with the book. And so I’ve posted about a dozen or so posts 
294	3744	January 28, 2013	Posts by Outsiders	Early Christianity; Homosexuality; Nazareth; Jesus; Hebrew Bible	jesus; gospels; new-testament; hebrew-bible; early-christianity; textual-criticism; public-forum	Now that we’ve seen a couple of posts by Jeff Siker (the author of Jesus, Sin, and Perfection in Early Christianity and Homosexuality in the Church) – taking a position quite different from my own on a question of broad importance – and some of the comments that have come back on it, and his reply at length to one of them, I think we are in a position to sit back and see how that “worked” for the 	Posts by Outsiders January 28, 2013 Now that we’ve seen a couple of posts by Jeff Siker (the author of Jesus, Sin, and Perfection in Early Christianity and Homosexuality in the Church) – taking a position quite different from my own on a question of broad importance – and some of the comments that have come back on it, and his reply at length to one of them, I think we are in a position to sit back and see how that “worked” for the blog. My sense is that it worked very well. If you think otherwi
295	3736	January 27, 2013	From Jeff Siker: A Response to Comments	Early Christianity; Homosexuality; Jesus; Jeff Siker; Suffering; Paul	jesus; gospels; paul; early-christianity; canon; christology; suffering-evil; reader-questions	Jeff Siker’s posts have elicited some very interesting responses. I don’t think he can reply to everything, but I did ask him to take one of the questions and give it his best shot.	From Jeff Siker: A Response to Comments January 27, 2013 Jeff Siker’s posts have elicited some very interesting responses. I don’t think he can reply to everything, but I did ask him to take one of the questions and give it his best shot. So, see here below. After this one I’ll ask him just to respond to comments in the comment section of the blog (rather than as separate posts) as/if he sees fit. Tomorrow you’re stuck back with me again…. Jeff Siker is the author of Jesus, Sin, and Perfection i
296	3729	January 25, 2013	Jeff Siker Part 2: Why I am a Christian (and yet a New Testament scholar)	Early Christianity; Homosexuality; Jesus; Critical Biblical Scholarship; Jeff Siker; Suffering; Paul; Abraham	jesus; gospels; paul; new-testament; early-christianity; textual-criticism; canon; suffering-evil	This is a part 2-continuation of Jeff Siker’s reflections on why he is a Christian still, even though he knows and believes what I do about the New Testament from a historical perspective. To make fullest sense of this post, you should read it in conjunction with the one from yesterday.	Jeff Siker Part 2: Why I am a Christian (and yet a New Testament scholar) January 25, 2013 This is a part 2-continuation of Jeff Siker’s reflections on why he is a Christian still, even though he knows and believes what I do about the New Testament from a historical perspective. To make fullest sense of this post, you should read it in conjunction with the one from yesterday. He and I will welcome comments and interactions. Jeff Siker is the author of Jesus, Sin, and Perfection in Early Christia
297	3719	January 24, 2013	Something New on the Blog	Early Christianity; Problem of Suffering (General); Suffering; Jesus	jesus; new-testament; early-christianity; suffering-evil; reader-questions; public-forum	I have received a number of suggestions about how to improve this blog, and so far the one I like best is for me to have an occasional guest make a contribution that people could interact with — that is, someone who is, like me, a scholar of NT or early Christianity who has a different thing or two to say. I think it’s a great idea.	Something New on the Blog January 24, 2013 I have received a number of suggestions about how to improve this blog, and so far the one I like best is for me to have an occasional guest make a contribution that people could interact with — that is, someone who is, like me, a scholar of NT or early Christianity who has a different thing or two to say. I think it’s a great idea. And I’m going to implement it for the first time tomorrow. Here is a question I have recently been asked: You’ve mention t
298	3605	January 6, 2013	New Reference Tool	Encyclopedia of Ancient History; Jesus	jesus; gospels; paul; new-testament; early-christianity; apocrypha; christology; roman-world	I’m pleased to be able to announce (and only a month after the fact) that after years of labor, the thirteen-volume Encyclopedia of Ancient History, ed. by Roger Bagnall, Kai Bodersen, Craige Champion, Andrew Erskine, and Sabine Hueber has now appeared, published by Wiley-Blackwell.	New Reference Tool January 6, 2013 I’m pleased to be able to announce (and only a month after the fact) that after years of labor, the thirteen-volume Encyclopedia of Ancient History, ed. by Roger Bagnall, Kai Bodersen, Craige Champion, Andrew Erskine, and Sabine Hueber has now appeared, published by Wiley-Blackwell. It’s not exactly an affordable reference tool for everyone’s library. The list price is $1995.00! But you can save $354 on Amazon, if you’re loaded and looking for the most authorit
299	3553	December 31, 2012	End of the Year Reflections on the Blog	Early Christianity; Jesus	jesus; early-christianity; reader-questions; blog-news; public-forum; reflections-ruminations	So, it’s the last day of the year, and I thought I would take a moment to reflect on life, meaning, and the state of the blog. Mainly, for now, the state of the blog.	End of the Year Reflections on the Blog December 31, 2012 So, it’s the last day of the year, and I thought I would take a moment to reflect on life, meaning, and the state of the blog. Mainly, for now, the state of the blog. Some statistics would be useful, both of what I wanted to accomplish before the year was out (which will be in five and a half hours, my time) and what we did accomplish. So, to start with, my plan at the outset. I really didn’t know how the blog would go, whether it would h
300	3444	December 11, 2012	Cover Stories on Jesus	Jesus; Early Christianity; Constantine; Lectures; Paul; Newsweek	jesus; gospels; paul; new-testament; early-christianity; forgery-authorship; roman-world; church-history	Apologies to all for being “off” the blog for a couple of days. I’ve been in D.	Cover Stories on Jesus December 11, 2012 Apologies to all for being “off” the blog for a couple of days. I’ve been in D.C. getting ready and primed for a new course that I’ll be doing with the Great Courses; it will be an audio course (no video for this one) called “The Greatest Controversies in Early Christianity,” where I deal with some hot topics, including two that I’ve been hitting here on the blog lately (Was Jesus Born in Bethlehem? And Was Jesus’ Mother a Virgin?), and others I haven’t (
301	3306	November 19, 2012	How Do I Read Books?	Reading	forgery-authorship; reader-questions; book-discussions; readers-questions	How do you go about reading books? Which methods do you use in order to read as much as possibile?	How Do I Read Books? November 19, 2012 QUESTION: How do you go about reading books? Which methods do you use in order to read as much as possibile? How do make plans how much to read? Do you highlight things in books? Do you you’re your own comments? Summaries? Any other tips? RESPONSE: Ah, this is an interesting question. As it turns out, there’s not an easy answer. That’s because there are many different ways I read books, depending on what kind of book it is. I realize we’re talking about boo
302	3180	November 1, 2012	The Sense of an Ending	Apostolic Fathers; Resurrection; Jesus; Julian Barnes	jesus; early-christianity; forgery-authorship; resurrection; reader-questions; book-discussions; public-forum; reflections-ruminations	I am today taking executive privilege and allowing myself a hiatus in my discussions of various things academic in this post. I still have several posts I want to make about editing the edition of the apostolic fathers – especially about translating them – and I want to get back to what I was writing about before all that, as I do more and more reading of relevance to the topic of belief in Jesus’	The Sense of an Ending November 1, 2012 I am today taking executive privilege and allowing myself a hiatus in my discussions of various things academic in this post. I still have several posts I want to make about editing the edition of the apostolic fathers – especially about translating them – and I want to get back to what I was writing about before all that, as I do more and more reading of relevance to the topic of belief in Jesus’ resurrection. And I want to talk about the two book ideas t
303	2872	October 1, 2012	Blog Preferences	Charity	textual-criticism; reader-questions; blog-news; public-forum	To: Members of the CIA. And potential members of the CIA.	Blog Preferences October 1, 2012 To: Members of the CIA. And potential members of the CIA. And anyone else who wants to be involved. From: The Director of the CIA Re: Overt operations OK, so here’s the deal. A couple of weeks ago I published a post indicating how we were doing now just over five months into this blog. A number of you commented about the number of posts that I’m doing, many of you (not all) indicating that it seemed like a lot, and some (not all) suggesting that fewer might be be
304	2852	September 26, 2012	More on Faith and History	Theology; History; Gospel of John; Jesus	jesus; gospels; reader-questions; readers-questions; reflections-ruminations; teaching-christianity	I have decided that one way to deal with all the comments that I get on the blog is to respond more directly, right away, and at length here by way of a new post rather than by (a) responding quickly in a comment on the comment in the comment section or (b) adding the comment to my long and getting longer list of comments and questions that I slowly work through one at a time to form the basis of 	More on Faith and History September 26, 2012 I have decided that one way to deal with all the comments that I get on the blog is to respond more directly, right away, and at length here by way of a new post rather than by (a) responding quickly in a comment on the comment in the comment section or (b) adding the comment to my long and getting longer list of comments and questions that I slowly work through one at a time to form the basis of some of my posts. So I got a number of responses to my 
305	2789	September 16, 2012	On the Blog Itself	Early Christianity; Charity	new-testament; early-christianity; textual-criticism; reader-questions; public-forum	I am taking a moment out from a hectic life (who *doesn’t* have a hectic life?!?) to think a bit about the blog, and how it is going.	On the Blog Itself September 16, 2012 I am taking a moment out from a hectic life (who *doesn’t* have a hectic life?!?) to think a bit about the blog, and how it is going. Here are just a few reflections. We got it up and running at the beginning of April, so we have been at it now for just over five months. My goals at the outset were to disseminate knowledge about the New Testament and early Christianity as much as was within my abilities, and to raise money for charities dealing with hunger a
306	2672	August 31, 2012	Carlo Martini, in memoriam	Carlo Martini	gospels; new-testament; textual-criticism; forgery-authorship; roman-world; reader-questions; reflections-ruminations	I was very sorry today to learn that Carlo Martini passed away. He was an important textual scholar who was best known for other things — in particular for being in the very higher reaches of the Roman Catholic church hierarchy.	Carlo Martini, in memoriam August 31, 2012 I was very sorry today to learn that Carlo Martini passed away. He was an important textual scholar who was best known for other things — in particular for being in the very higher reaches of the Roman Catholic church hierarchy. He was the cardinal of Milan (Italy) and for a while was thought to be a candidate to be the next pope. He was 85 at his death. I never met him, but I long knew of him and actually had correpondence with him when I was a graduat
307	2624	August 20, 2012	My First Teaching Position	Job; Bruce Metzger; Didymus the Blind; Gospel of John; Rutgers; Paul	gospels; paul; new-testament; textual-criticism; miracles; blog-news; barts-biography; reflections-ruminations	ONE OF MY RECENT POSTS ON BRUCE METZGER MADE ME THINK OF WHEN I GOT MY FIRST TEACHING JOB. NOT SURE WHY.	My First Teaching Position August 20, 2012 ONE OF MY RECENT POSTS ON BRUCE METZGER MADE ME THINK OF WHEN I GOT MY FIRST TEACHING JOB. NOT SURE WHY. BUT HERE ARE SOME REFLECTIONS ABOUT IT…. ********************************************************************************************************************** My students are alternatively comforted and chagrined to learn how hard it was for me to get a teaching position. It makes them feel good that they are not alone, but bad that they too might h
308	2557	August 2, 2012	Always Looking for MORE!!	Charity	new-testament; textual-criticism; forgery-authorship; reader-questions; blog-news; public-forum	From where I sit, this blog is going very well. On average about two new members join a day.	Always Looking for MORE!! August 2, 2012 Dear Devotees of the CIA :-), From where I sit, this blog is going very well. On average about two new members join a day. That may not seem like much, but at $24.95, a pop, over time, it adds up to some serious money for charities dealing with hunger and homelessness — which is what is driving my efforts in the first place. But as I’ve indicated before, and will indicate yet again, time and time and time again, I want to do more and would like to see us 
309	2507	July 24, 2012	Accessing the Squirrel		forgery-authorship; blog-news; public-forum	Some members wrote me to say they had trouble accessing the second (and most interesting!) part of the Metzger and the Squirrel story a couple of days ago.	Accessing the Squirrel July 24, 2012 Some members wrote me to say they had trouble accessing the second (and most interesting!) part of the Metzger and the Squirrel story a couple of days ago. Sorry not to respond sooner; I’ve been galavanting hither and yon. The mistake was mine (I hit a wrong button when posting the story), but it has been corrected, and you should be able to access it now.
